JDHEL V-C s1 V-K1 s2 C-K1 s3
Aperture: 7, Filter: rp, JD: geocentric
2458243.6144469 -1.24420 0.01145 99.99999 9.99999 99.99999 9.99999
2458243.6148874 99.99999 9.99999 99.99999 9.99999 -0.38304 0.01822
2458243.6157765 99.99999 9.99999 99.99999 9.99999 -0.38697 0.01820
2458243.6166592 -1.24381 0.01133 -1.63553 0.01555 -0.39173 0.01830
2458243.6171101 -1.25961 0.01146 -1.63882 0.01506 -0.37922 0.01800
2458243.6179913 -1.27742 0.01145 -1.65331 0.01532 -0.37588 0.01824
2458243.6184308 -1.26767 0.01166 -1.62100 0.01538 -0.35333 0.01838
2458243.6193177 -1.25268 0.01143 -1.65406 0.01544 -0.40138 0.01828
2458243.6197592 99.99999 9.99999 -1.61909 0.01537 99.99999 9.99999
2458243.6202053 -1.27294 0.01158 99.99999 9.99999 99.99999 9.99999
2458243.6215591 -1.24023 0.01146 -1.66560 0.01566 -0.42537 0.01848
2458243.6220021 -1.23868 0.01137 -1.67029 0.01591 -0.43161 0.01865
2458243.6228852 -1.25151 0.01158 -1.68655 0.01606 -0.43504 0.01885
2458243.6242358 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458243.6246769 -1.26856 0.01178 -1.64400 0.01549 -0.37544 0.01854
2458243.6260162 -1.25637 0.01143 -1.66447 0.01585 -0.40810 0.01863
2458243.6264589 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458243.6269004 -1.25146 0.01143 -1.64515 0.01568 -0.39369 0.01847
2458243.6273408 -1.24763 0.01167 -1.67694 0.01608 -0.42931 0.01894
2458243.6278220 -1.24520 0.01165 -1.62899 0.01540 -0.38379 0.01839
2458243.6291472 -1.24581 0.01150 -1.63504 0.01559 -0.38923 0.01844
2458243.6295905 -1.26362 0.01168 -1.65044 0.01556 -0.38682 0.01855
2458243.6309143 -1.24572 0.01159 -1.65002 0.01563 -0.40430 0.01854
2458243.6313561 -1.26839 0.01174 -1.65966 0.01562 -0.39127 0.01864
2458243.6322404 -1.26112 0.01157 -1.65824 0.01581 -0.39712 0.01866
2458243.6331221 -1.27032 0.01178 -1.64589 0.01579 -0.37557 0.01877
2458243.6335632 -1.25457 0.01165 -1.67160 0.01614 -0.41703 0.01898
2458243.6340122 -1.27756 0.01182 -1.64036 0.01543 -0.36280 0.01851
2458243.6349229 -1.27341 0.01164 -1.65530 0.01573 -0.38190 0.01864
