JDHEL V-C s1 V-K1 s2 C-K1 s3
Aperture: 11, Filter: SDSS r, JD: geocentric
2458853.5528009 -0.63901 0.00851 -0.76386 0.00920 -0.12485 0.01101
2458853.5533681 -0.62697 0.00870 -0.76491 0.00916 -0.13794 0.01111
2458853.5539699 -0.63512 0.00830 -0.75948 0.00899 -0.12436 0.01079
2458853.5545486 -0.63013 0.00850 -0.76270 0.00909 -0.13257 0.01102
2458853.5551273 -0.64774 0.00835 -0.78858 0.00900 -0.14084 0.01081
2458853.5556944 -0.63266 0.00834 -0.76660 0.00888 -0.13394 0.01072
2458853.5562731 -0.62997 0.00835 -0.78045 0.00907 -0.15048 0.01086
2458853.5568634 -0.64147 0.00828 -0.77654 0.00889 -0.13506 0.01072
2458853.5574421 -0.63264 0.00821 -0.77367 0.00881 -0.14103 0.01065
2458853.5580093 -0.64460 0.00820 -0.75983 0.00878 -0.11522 0.01059
2458853.5585880 -0.65160 0.00833 -0.77059 0.00881 -0.11899 0.01074
2458853.5591782 -0.64329 0.00819 -0.77638 0.00897 -0.13309 0.01078
2458853.5597685 -0.63537 0.00828 -0.76764 0.00880 -0.13226 0.01068
2458853.5603241 -0.64401 0.00811 -0.77440 0.00872 -0.13039 0.01052
2458853.5609259 -0.65543 0.00799 -0.78563 0.00882 -0.13020 0.01055
2458853.5615046 -0.63941 0.00809 -0.77535 0.00874 -0.13594 0.01055
2458853.5620949 -0.63101 0.00799 -0.77373 0.00879 -0.14272 0.01052
2458853.5626736 -0.64001 0.00784 -0.76483 0.00857 -0.12482 0.01030
2458853.5632407 -0.63425 0.00796 -0.76768 0.00871 -0.13343 0.01045
2458853.5638310 -0.64440 0.00797 -0.77034 0.00868 -0.12594 0.01042
2458853.5643981 -0.64024 0.00822 -0.77342 0.00868 -0.13318 0.01057
2458853.5649537 -0.64009 0.00795 -0.76923 0.00859 -0.12914 0.01040
2458853.5655440 -0.64162 0.00793 -0.76720 0.00857 -0.12558 0.01030
2458853.5661227 -0.65456 0.00775 -0.78172 0.00851 -0.12715 0.01016
2458853.5667130 -0.63827 0.00792 -0.78201 0.00866 -0.14374 0.01036
2458853.5672801 -0.64449 0.00774 -0.77725 0.00879 -0.13276 0.01038
2458853.5678588 -0.63584 0.00787 -0.76787 0.00864 -0.13203 0.01033
2458853.5684259 -0.63679 0.00784 -0.76802 0.00862 -0.13123 0.01032
2458853.5689815 -0.64232 0.00778 -0.77899 0.00854 -0.13667 0.01026
2458853.5695833 -0.62808 0.00788 -0.76805 0.00861 -0.13997 0.01032
2458853.5701505 -0.64663 0.00785 -0.78460 0.00874 -0.13797 0.01041
2458853.5707407 -0.62257 0.00786 -0.77629 0.00878 -0.15372 0.01043
2458853.5713310 -0.62882 0.00787 -0.76341 0.00872 -0.13459 0.01039
2458853.5719097 -0.64028 0.00769 -0.78311 0.00873 -0.14283 0.01033
2458853.5724769 -0.63566 0.00791 -0.76468 0.00868 -0.12902 0.01037
2458853.5730671 -0.64076 0.00790 -0.76362 0.00851 -0.12286 0.01034
2458853.5736343 -0.63777 0.00797 -0.75647 0.00862 -0.11870 0.01048
2458853.5742245 -0.64471 0.00786 -0.77266 0.00877 -0.12795 0.01045
2458853.5748032 -0.63373 0.00797 -0.77624 0.00883 -0.14250 0.01062
2458853.5753935 -0.64742 0.00790 -0.77273 0.00864 -0.12531 0.01039
2458853.5759838 -0.63388 0.00793 -0.75332 0.00859 -0.11944 0.01038
2458853.5765509 -0.64146 0.00792 -0.76073 0.00869 -0.11927 0.01043
2458853.5771296 -0.62842 0.00799 -0.75037 0.00871 -0.12195 0.01046
2458853.5776968 -0.65157 0.00789 -0.79006 0.00877 -0.13850 0.01050
2458853.5782755 -0.64143 0.00791 -0.76552 0.00867 -0.12410 0.01044
2458853.5788657 -0.64255 0.00784 -0.76938 0.00872 -0.12683 0.01037
2458853.5794329 -0.63410 0.00799 -0.76492 0.00863 -0.13082 0.01046
2458853.5800231 -0.63902 0.00782 -0.76544 0.00853 -0.12642 0.01023
2458853.5805903 -0.64592 0.00807 -0.76751 0.00876 -0.12159 0.01060
2458853.5811690 -0.63293 0.00791 -0.78241 0.00873 -0.14948 0.01046
2458853.5817361 -0.64229 0.00793 -0.77022 0.00876 -0.12793 0.01047
2458853.5823148 -0.64526 0.00803 -0.75622 0.00867 -0.11097 0.01039
2458853.5829051 -0.63587 0.00780 -0.77039 0.00874 -0.13452 0.01038
2458853.5834838 -0.64194 0.00804 -0.77793 0.00882 -0.13600 0.01062
2458853.5840625 -0.63364 0.00788 -0.77048 0.00869 -0.13683 0.01038
2458853.5846412 -0.64261 0.00806 -0.78409 0.00865 -0.14148 0.01050
2458853.5852083 -0.64408 0.00784 -0.77934 0.00872 -0.13527 0.01038
2458853.5857986 -0.62511 0.00788 -0.76452 0.00880 -0.13941 0.01041
2458853.5863889 -0.63140 0.00770 -0.75880 0.00861 -0.12740 0.01021
2458853.5869676 -0.63712 0.00788 -0.75668 0.00854 -0.11956 0.01023
2458853.5875579 -0.64532 0.00772 -0.77468 0.00855 -0.12936 0.01021
2458853.5881366 -0.63651 0.00790 -0.76013 0.00864 -0.12362 0.01040
2458853.5887269 -0.64468 0.00794 -0.77335 0.00872 -0.12867 0.01040
2458853.5893056 -0.64300 0.00796 -0.75249 0.00867 -0.10949 0.01043
2458853.5898958 -0.63242 0.00799 -0.76042 0.00867 -0.12801 0.01043
2458853.5904861 -0.63541 0.00785 -0.75489 0.00871 -0.11948 0.01033
